MTU,Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),date,country
MTU,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore,,
MTU,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,,
MTU,[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],,
MTU,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,
11:15 - 11:30,4528.0,4414.0,n/e,2827.0,2500.0,281.0,n/e,n/e,22.0,170.0,1676.0,1439.0,17.0,n/e,3342.0,320.0,126.0,6449.0,837.0,4077.0,12332.0,2022-01-01,DE
11:30 - 11:45,4506.0,4421.0,n/e,2835.0,2541.0,281.0,n/e,n/e,19.0,219.0,1677.0,1438.0,22.0,n/e,3340.0,320.0,126.0,6912.0,834.0,4411.0,11733.0,2022-01-01,DE
11:45 - 12:00,4527.0,4464.0,n/e,2844.0,2579.0,281.0,n/e,n/e,17.0,187.0,1212.0,1436.0,67.0,n/e,3347.0,320.0,126.0,7288.0,840.0,4649.0,10911.0,2022-01-01,DE
12:00 - 12:15,4510.0,4513.0,n/e,2823.0,2641.0,281.0,n/e,n/e,17.0,1003.0,675.0,1431.0,31.0,n/e,3354.0,320.0,126.0,7566.0,839.0,4592.0,10922.0,2022-01-01,DE
12:15 - 12:30,4497.0,4474.0,n/e,2836.0,2730.0,281.0,n/e,n/e,17.0,779.0,625.0,1427.0,25.0,n/e,3351.0,320.0,126.0,7814.0,839.0,4842.0,10684.0,2022-01-01,DE
12:30 - 12:45,4477.0,4558.0,n/e,2835.0,2757.0,281.0,n/e,n/e,17.0,809.0,808.0,1427.0,27.0,n/e,3343.0,320.0,126.0,7899.0,835.0,5186.0,10047.0,2022-01-01,DE
12:45 - 13:00,4475.0,4469.0,n/e,2823.0,2762.0,281.0,n/e,n/e,17.0,876.0,726.0,1426.0,23.0,n/e,3344.0,320.0,126.0,7697.0,841.0,5360.0,9704.0,2022-01-01,DE
13:00 - 13:15,4469.0,4259.0,n/e,2739.0,2751.0,281.0,n/e,n/e,17.0,1264.0,740.0,1428.0,25.0,n/e,3347.0,320.0,126.0,7407.0,846.0,5379.0,9370.0,2022-01-01,DE
13:15 - 13:30,4463.0,4232.0,n/e,2736.0,2749.0,281.0,n/e,n/e,17.0,1222.0,1188.0,1428.0,20.0,n/e,3348.0,320.0,126.0,7070.0,841.0,5445.0,9076.0,2022-01-01,DE
13:30 - 13:45,4462.0,4232.0,n/e,2738.0,2745.0,281.0,n/e,n/e,17.0,1177.0,1180.0,1427.0,35.0,n/e,3345.0,320.0,126.0,6598.0,836.0,5562.0,8757.0,2022-01-01,DE
13:45 - 14:00,4463.0,4236.0,n/e,2734.0,2750.0,281.0,n/e,n/e,17.0,1309.0,1053.0,1428.0,71.0,n/e,3336.0,320.0,126.0,6097.0,835.0,5724.0,8483.0,2022-01-01,DE
14:00 - 14:15,4465.0,4395.0,n/e,2850.0,2841.0,281.0,n/e,n/e,17.0,2190.0,907.0,1424.0,41.0,n/e,3277.0,320.0,126.0,5538.0,833.0,5810.0,8467.0,2022-01-01,DE
14:15 - 14:30,4472.0,4644.0,n/e,2844.0,2877.0,281.0,n/e,n/e,17.0,2175.0,614.0,1422.0,122.0,n/e,3269.0,320.0,126.0,4963.0,834.0,5859.0,8258.0,2022-01-01,DE
14:30 - 14:45,4486.0,5015.0,n/e,2825.0,2988.0,281.0,n/e,n/e,17.0,2163.0,719.0,1421.0,86.0,n/e,3343.0,320.0,126.0,4331.0,836.0,5910.0,8243.0,2022-01-01,DE
14:45 - 15:00,4491.0,5575.0,n/e,2837.0,3014.0,281.0,n/e,n/e,17.0,2176.0,808.0,1421.0,68.0,n/e,3341.0,320.0,126.0,3651.0,837.0,5978.0,8280.0,2022-01-01,DE
15:00 - 15:15,4503.0,6094.0,n/e,2828.0,3145.0,281.0,n/e,n/e,17.0,1848.0,883.0,1420.0,85.0,n/e,3336.0,320.0,126.0,2914.0,835.0,6020.0,8457.0,2022-01-01,DE
15:15 - 15:30,4516.0,6302.0,n/e,2854.0,3232.0,281.0,n/e,n/e,18.0,1938.0,658.0,1419.0,48.0,n/e,3346.0,320.0,126.0,2152.0,828.0,6029.0,8510.0,2022-01-01,DE
15:30 - 15:45,4519.0,6411.0,n/e,2857.0,3374.0,281.0,n/e,n/e,18.0,2022.0,187.0,1416.0,171.0,n/e,3348.0,320.0,126.0,1445.0,838.0,6038.0,8752.0,2022-01-01,DE
15:45 - 16:00,4546.0,6663.0,n/e,2862.0,3562.0,281.0,n/e,n/e,18.0,2127.0,174.0,1416.0,30.0,n/e,3347.0,320.0,126.0,868.0,844.0,6066.0,9209.0,2022-01-01,DE
16:00 - 16:15,4585.0,6932.0,n/e,2818.0,3693.0,281.0,n/e,n/e,18.0,2387.0,171.0,1415.0,16.0,n/e,3342.0,320.0,126.0,436.0,847.0,6075.0,9787.0,2022-01-01,DE
16:15 - 16:30,4605.0,6977.0,n/e,2827.0,3793.0,281.0,n/e,n/e,18.0,2960.0,170.0,1415.0,30.0,n/e,3345.0,320.0,126.0,148.0,841.0,6104.0,10300.0,2022-01-01,DE
16:30 - 16:45,4606.0,7064.0,n/e,2832.0,3843.0,281.0,n/e,n/e,18.0,3193.0,48.0,1413.0,30.0,n/e,3348.0,320.0,126.0,17.0,849.0,6115.0,10799.0,2022-01-01,DE
16:45 - 17:00,4616.0,7193.0,n/e,2836.0,3913.0,281.0,n/e,n/e,18.0,3397.0,12.0,1413.0,32.0,n/e,3349.0,320.0,126.0,1.0,848.0,6132.0,11341.0,2022-01-01,DE
17:00 - 17:15,4624.0,7286.0,n/e,2825.0,3996.0,281.0,n/e,n/e,18.0,3459.0,11.0,1407.0,40.0,n/e,3345.0,320.0,126.0,0.0,846.0,6152.0,11938.0,2022-01-01,DE
17:15 - 17:30,4626.0,7427.0,n/e,2805.0,4001.0,281.0,n/e,n/e,18.0,3600.0,11.0,1405.0,38.0,n/e,3350.0,320.0,126.0,0.0,838.0,6091.0,12507.0,2022-01-01,DE
17:30 - 17:45,4630.0,7413.0,n/e,2821.0,4011.0,281.0,n/e,n/e,21.0,3657.0,8.0,1405.0,34.0,n/e,3352.0,320.0,126.0,0.0,844.0,6034.0,13124.0,2022-01-01,DE
17:45 - 18:00,4625.0,7385.0,n/e,2830.0,4089.0,281.0,n/e,n/e,21.0,3644.0,8.0,1402.0,34.0,n/e,3351.0,320.0,126.0,0.0,854.0,6043.0,13601.0,2022-01-01,DE
18:00 - 18:15,4637.0,7576.0,n/e,2813.0,4138.0,281.0,n/e,n/e,21.0,4376.0,8.0,1403.0,34.0,n/e,3351.0,320.0,126.0,0.0,852.0,6052.0,14163.0,2022-01-01,DE
18:15 - 18:30,4650.0,7613.0,n/e,2800.0,4153.0,281.0,n/e,n/e,21.0,4391.0,8.0,1402.0,36.0,n/e,3352.0,320.0,126.0,0.0,850.0,6038.0,14625.0,2022-01-01,DE
18:30 - 18:45,4651.0,7621.0,n/e,2816.0,4210.0,281.0,n/e,n/e,22.0,4250.0,8.0,1401.0,34.0,n/e,3352.0,320.0,126.0,0.0,854.0,6044.0,15049.0,2022-01-01,DE
18:45 - 19:00,4650.0,7494.0,n/e,2817.0,4208.0,281.0,n/e,n/e,22.0,3412.0,8.0,1400.0,28.0,n/e,3351.0,320.0,126.0,0.0,855.0,6060.0,15762.0,2022-01-01,DE
19:00 - 19:15,4639.0,7362.0,n/e,2846.0,4083.0,281.0,n/e,n/e,22.0,3597.0,17.0,1394.0,27.0,n/e,3351.0,320.0,126.0,0.0,855.0,6071.0,16419.0,2022-01-01,DE
19:15 - 19:30,4609.0,7321.0,n/e,2859.0,4011.0,281.0,n/e,n/e,22.0,3364.0,95.0,1399.0,29.0,n/e,3350.0,320.0,126.0,0.0,851.0,6085.0,16698.0,2022-01-01,DE
19:30 - 19:45,4610.0,7230.0,n/e,2857.0,3937.0,281.0,n/e,n/e,22.0,3553.0,96.0,1401.0,32.0,n/e,3351.0,325.0,126.0,0.0,848.0,6089.0,17079.0,2022-01-01,DE
19:45 - 20:00,4599.0,6889.0,n/e,2829.0,3862.0,281.0,n/e,n/e,22.0,2872.0,96.0,1400.0,28.0,n/e,3351.0,325.0,126.0,0.0,851.0,6099.0,17438.0,2022-01-01,DE
20:00 - 20:15,4554.0,6523.0,n/e,2852.0,3686.0,281.0,n/e,n/e,23.0,3016.0,95.0,1400.0,54.0,n/e,3357.0,326.0,126.0,0.0,844.0,6139.0,17880.0,2022-01-01,DE
20:15 - 20:30,4529.0,6391.0,n/e,2868.0,3600.0,281.0,n/e,n/e,24.0,2154.0,107.0,1403.0,44.0,n/e,3356.0,326.0,126.0,0.0,853.0,6190.0,17919.0,2022-01-01,DE
20:30 - 20:45,4510.0,6253.0,n/e,2857.0,3546.0,281.0,n/e,n/e,25.0,2028.0,107.0,1404.0,32.0,n/e,3349.0,326.0,126.0,0.0,849.0,6272.0,17959.0,2022-01-01,DE
20:45 - 21:00,4500.0,5981.0,n/e,2830.0,3470.0,281.0,n/e,n/e,25.0,1586.0,154.0,1405.0,28.0,n/e,3348.0,326.0,126.0,0.0,849.0,6329.0,18056.0,2022-01-01,DE
21:00 - 21:15,4449.0,5721.0,n/e,2797.0,3411.0,281.0,n/e,n/e,26.0,1712.0,58.0,1402.0,62.0,n/e,3353.0,326.0,126.0,0.0,850.0,6399.0,18021.0,2022-01-01,DE
21:15 - 21:30,4449.0,5632.0,n/e,2794.0,3239.0,281.0,n/e,n/e,26.0,1320.0,52.0,1407.0,26.0,n/e,3359.0,326.0,126.0,0.0,849.0,6461.0,18282.0,2022-01-01,DE
21:30 - 21:45,4447.0,5612.0,n/e,2823.0,3043.0,281.0,n/e,n/e,26.0,1320.0,256.0,1408.0,25.0,n/e,3350.0,326.0,126.0,0.0,848.0,6498.0,18444.0,2022-01-01,DE
21:45 - 22:00,4439.0,5664.0,n/e,2810.0,2834.0,281.0,n/e,n/e,26.0,1073.0,331.0,1409.0,21.0,n/e,3350.0,326.0,126.0,0.0,852.0,6535.0,18693.0,2022-01-01,DE
22:00 - 22:15,4415.0,5795.0,n/e,2785.0,2773.0,281.0,n/e,n/e,26.0,2497.0,514.0,1406.0,84.0,n/e,3354.0,326.0,126.0,0.0,860.0,6663.0,18175.0,2022-01-01,DE
22:15 - 22:30,4401.0,5782.0,n/e,2796.0,2669.0,281.0,n/e,n/e,27.0,1449.0,539.0,1405.0,92.0,n/e,3359.0,326.0,126.0,0.0,859.0,6725.0,18531.0,2022-01-01,DE
22:30 - 22:45,4405.0,5783.0,n/e,2808.0,2527.0,281.0,n/e,n/e,27.0,1402.0,530.0,1403.0,174.0,n/e,3362.0,326.0,126.0,0.0,857.0,6775.0,18672.0,2022-01-01,DE
22:45 - 23:00,4399.0,5404.0,n/e,2803.0,2526.0,281.0,n/e,n/e,27.0,978.0,477.0,1401.0,49.0,n/e,3355.0,326.0,126.0,0.0,861.0,6810.0,18692.0,2022-01-01,DE
23:00 - 23:15,4382.0,4811.0,n/e,2755.0,2505.0,281.0,n/e,n/e,27.0,1607.0,74.0,1400.0,70.0,n/e,3360.0,326.0,126.0,0.0,861.0,6838.0,18672.0,2022-01-01,DE
23:15 - 23:30,4375.0,4610.0,n/e,2746.0,2425.0,281.0,n/e,n/e,27.0,567.0,326.0,1398.0,29.0,n/e,3359.0,326.0,126.0,0.0,857.0,6946.0,18830.0,2022-01-01,DE
