iter	Passed	Remaining
796	24197	6163
797	24228	6133
798	24259	6102
799	24287	6071
800	24318	6041
801	24347	6011
802	24387	5983
803	24422	5953
804	24461	5925
805	24501	5897
806	24571	5876
807	24613	5848
808	24648	5819
809	24686	5790
810	24719	5760
811	24753	5731
812	24789	5701
813	24817	5670
814	24848	5640
815	24876	5609
816	24904	5578
817	24929	5546
818	24957	5515
819	24985	5484
820	25012	5453
821	25041	5422
822	25071	5392
823	25101	5361
824	25128	5330
825	25155	5299
826	25183	5268
827	25210	5237
828	25238	5205
829	25266	5175
830	25292	5143
831	25321	5112
832	25349	5082
833	25376	5050
834	25403	5019
835	25428	4988
836	25455	4957
837	25481	4926
838	25508	4894
839	25536	4864
840	25566	4833
841	25592	4802
842	25620	4771
843	25648	4740
844	25674	4709
845	25702	4678
846	25729	4647
847	25754	4616
848	25780	4585
849	25805	4553
850	25846	4525
851	25881	4495
852	25906	4464
853	25934	4433
854	25961	4402
855	25986	4371
856	26011	4340
857	26036	4309
858	26065	4278
859	26088	4247
860	26117	4216
861	26145	4185
862	26171	4154
863	26197	4123
864	26223	4092
865	26250	4061
866	26277	4031
867	26303	4000
868	26331	3969
869	26353	3937
870	26377	3906
871	26400	3875
872	26426	3844
873	26450	3813
874	26481	3783
875	26507	3752
876	26535	3721
877	26563	3691
878	26591	3660
879	26616	3629
880	26647	3599
881	26673	3568
882	26699	3537
883	26726	3507
884	26750	3476
885	26777	3445
886	26802	3414
887	26828	3383
888	26852	3352
889	26880	3322
890	26907	3291
891	26932	3260
892	26958	3230
893	26984	3199
894	27009	3168
895	27036	3138
896	27061	3107
897	27089	3076
898	27114	3046
899	27143	3015
900	27168	2985
901	27193	2954
902	27220	2923
903	27245	2893
904	27273	2862
905	27298	2832
906	27323	2801
907	27347	2770
908	27373	2740
909	27399	2709
910	27425	2679
911	27452	2648
912	27478	2618
913	27506	2588
914	27534	2557
915	27561	2527
916	27589	2497
917	27614	2466
918	27639	2436
919	27664	2405
920	27691	2375
921	27720	2345
922	27745	2314
923	27771	2284
924	27796	2253
925	27824	2223
926	27850	2193
927	27876	2162
928	27904	2132
929	27932	2102
930	27957	2072
931	27983	2041
932	28008	2011
933	28037	1981
934	28061	1950
935	28086	1920
936	28116	1890
937	28141	1860
938	28169	1829
939	28192	1799
940	28217	1769
941	28241	1738
942	28269	1708
943	28298	1678
944	28323	1648
945	28352	1618
946	28376	1588
947	28400	1557
948	28425	1527
949	28451	1497
950	28475	1467
951	28501	1437
952	28525	1406
953	28552	1376
954	28579	1346
955	28603	1316
956	28632	1286
957	28658	1256
958	28684	1226
959	28711	1196
960	28735	1166
961	28764	1136
962	28789	1106
963	28816	1076
964	28847	1046
965	28876	1016
966	28921	986
967	28964	957
968	29008	928
969	29049	898
970	29100	869
971	29132	839
972	29171	809
973	29202	779
974	29239	749
975	29274	719
976	29303	689
977	29333	659
978	29364	629
979	29405	600
980	29439	570
981	29468	540
982	29499	510
983	29530	480
984	29559	450
985	29591	420
986	29622	390
987	29675	360
988	29731	330
989	29763	300
990	29806	270
991	29846	240
992	29893	210
993	29946	180
994	29987	150
995	30028	120
996	30078	90
997	30116	60
998	30158	30
999	30196	0
