iter	Passed	Remaining
1365	41810	723392
1366	41839	723339
1367	41873	723366
1368	41903	723313
1369	41932	723255
1370	41961	723201
1371	42004	723379
1372	42043	723500
1373	42079	723563
1374	42120	723703
1375	42153	723710
1376	42188	723760
1377	42222	723787
1378	42249	723702
1379	42278	723632
1380	42312	723663
1381	42340	723587
1382	42368	723510
1383	42409	723660
1384	42446	723731
1385	42490	723931
1386	42524	723953
1387	42559	723996
1388	42596	724087
1389	42632	724132
1390	42673	724287
1391	42705	724277
1392	42737	724272
1393	42767	724218
1394	42797	724182
1395	42836	724296
1396	42867	724271
1397	42893	724164
1398	42926	724171
1399	42954	724093
1400	42981	723999
1401	43011	723947
1402	43041	723913
1403	43072	723892
1404	43098	723779
1405	43125	723690
1406	43161	723737
1407	43189	723667
1408	43217	723596
1409	43244	723502
1410	43274	723453
1411	43302	723387
1412	43333	723366
1413	43362	723293
1414	43391	723248
1415	43418	723147
1416	43444	723046
1417	43474	722995
1418	43502	722934
1419	43534	722922
1420	43568	722938
1421	43594	722842
1422	43624	722796
1423	43658	722811
1424	43691	722821
1425	43720	722765
1426	43747	722676
1427	43775	722595
1428	43804	722538
1429	43834	722503
1430	43866	722486
1431	43895	722432
1432	43930	722484
1433	43964	722507
1434	43993	722450
1435	44020	722349
1436	44051	722320
1437	44085	722354
1438	44120	722389
1439	44148	722325
1440	44178	722284
1441	44205	722185
1442	44232	722103
1443	44260	722023
1444	44294	722043
1445	44323	721980
1446	44349	721876
1447	44378	721825
1448	44405	721735
1449	44434	721678
1450	44464	721628
1451	44491	721547
1452	44523	721535
1453	44553	721498
1454	44587	721521
1455	44617	721481
1456	44651	721506
1457	44683	721495
1458	44716	721500
1459	44750	721527
1460	44778	721459
1461	44807	721393
1462	44835	721314
1463	44868	721327
1464	44900	721315
1465	44931	721292
1466	44971	721406
1467	45008	721488
1468	45044	721534
1469	45080	721591
1470	45119	721690
1471	45148	721640
1472	45178	721594
1473	45212	721616
1474	45270	722031
1475	45314	722203
1476	45342	722138
1477	45375	722136
1478	45410	722184
1479	45440	722133
1480	45469	722081
1481	45503	722104
1482	45531	722028
1483	45562	721999
1484	45593	721972
1485	45629	722031
1486	45659	721977
1487	45687	721918
1488	45713	721806
1489	45746	721811
1490	45779	721819
1491	45806	721735
1492	45835	721671
1493	45864	721612
1494	45893	721557
1495	45923	721517
1496	45957	721529
1497	45985	721459
1498	46019	721484
1499	46045	721378
1500	46070	721267
1501	46117	721480
1502	46154	721554
1503	46196	721699
1504	46238	721838
1505	46281	722008
1506	46322	722132
1507	46360	722214
1508	46407	722431
1509	46441	722458
1510	46484	722623
1511	46530	722827
1512	46568	722909
1513	46609	723031
1514	46656	723257
1515	46715	723656
1516	46753	723746
1517	46792	723834
1518	46826	723855
1519	46864	723936
1520	46905	724060
1521	46942	724116
1522	46990	724359
1523	47018	724285
1524	47049	724259
1525	47094	724439
1526	47129	724468
1527	47160	724440
1528	47194	724467
1529	47225	724438
1530	47260	724471
1531	47295	724502
1532	47331	724546
1533	47359	724475
1534	47389	724425
1535	47420	724397
1536	47455	724424
1537	47493	724501
1538	47525	724498
1539	47556	724460
1540	47588	724450
1541	47620	724435
1542	47655	724461
1543	47690	724492
1544	47721	724469
1545	47770	724715
1546	47817	724928
1547	47855	725002
1548	47895	725105
1549	47938	725257
1550	47965	725170
1551	47995	725130
1552	48032	725182
1553	48067	725219
1554	48105	725296
1555	48144	725380
1556	48176	725364
1557	48217	725491
1558	48250	725497
1559	48291	725610
1560	48333	725751
1561	48367	725764
1562	48403	725812
1563	48433	725762
1564	48470	725825
1565	48509	725912
1566	48554	726088
1567	48604	726346
1568	48643	726434
1569	48688	726607
1570	48734	726795
1571	48774	726906
1572	48808	726910
1573	48853	727086
1574	48894	727211
1575	48931	727264
1576	48973	727402
1577	49011	727476
1578	49053	727608
1579	49099	727785
1580	49137	727864
1581	49167	727811
1582	49210	727966
1583	49255	728137
1584	49309	728439
1585	49348	728526
1586	49386	728597
1587	49435	728836
1588	49475	728923
1589	49507	728916
1590	49541	728921
1591	49578	728975
1592	49621	729116
1593	49661	729218
1594	49708	729420
1595	49743	729448
1596	49786	729584
1597	49829	729725
1598	49866	729788
1599	49913	729988
1600	49947	729991
1601	49979	729976
1602	50014	729997
1603	50051	730047
1604	50085	730060
1605	50121	730108
1606	50152	730069
1607	50196	730215
1608	50227	730193
1609	50263	730218
1610	50300	730273
1611	50341	730387
1612	50373	730371
1613	50409	730407
1614	50442	730405
1615	50476	730409
1616	50517	730518
1617	50561	730666
1618	50597	730704
1619	50641	730860
1620	50678	730917
1621	50725	731108
1622	50763	731173
1623	50805	731305
1624	50856	731553
1625	50896	731648
1626	50931	731665
1627	50971	731761
1628	51001	731705
1629	51029	731630
1630	51060	731592
1631	51094	731599
1632	51129	731626
1633	51161	731601
1634	51203	731729
1635	51242	731808
1636	51283	731915
1637	51320	731966
1638	51352	731944
1639	51390	732003
1640	51425	732026
1641	51462	732074
1642	51516	732367
1643	51550	732367
1644	51591	732471
1645	51631	732560
1646	51668	732612
1647	51695	732514
1648	51726	732479
1649	51756	732431
1650	51790	732436
1651	51816	732338
1652	51851	732353
1653	51878	732256
1654	51906	732180
1655	51947	732288
1656	51989	732408
1657	52037	732599
1658	52084	732799
1659	52127	732919
1660	52171	733065
1661	52216	733227
1662	52258	733342
1663	52299	733447
